date,one_yr_monthly_beta
15/01/2016,1.3589
14/01/2016,1.3589
13/01/2016,1.3589
12/01/2016,1.3589
11/01/2016,1.3589
08/01/2016,1.3589
07/01/2016,1.3589
06/01/2016,1.3589
05/01/2016,1.3589
04/01/2016,1.3589
01/01/2016,1.3589
31/12/2015,1.3589
30/12/2015,1.3742
29/12/2015,1.3742
28/12/2015,1.3742
25/12/2015,1.3742
24/12/2015,1.3742
23/12/2015,1.3742
22/12/2015,1.3742
21/12/2015,1.3742
18/12/2015,1.3742
17/12/2015,1.3742
16/12/2015,1.3742
15/12/2015,1.3742
14/12/2015,1.3742
11/12/2015,1.3742
10/12/2015,1.3742
09/12/2015,1.3742
08/12/2015,1.3742
07/12/2015,1.3742
04/12/2015,1.3742
03/12/2015,1.3742
02/12/2015,1.3742
01/12/2015,1.3742
30/11/2015,1.3742
27/11/2015,1.3384
26/11/2015,1.3384
25/11/2015,1.3384
24/11/2015,1.3384
23/11/2015,1.3384
20/11/2015,1.3384
19/11/2015,1.3384
18/11/2015,1.3384
17/11/2015,1.3384
16/11/2015,1.3384
13/11/2015,1.3384
12/11/2015,1.3384
11/11/2015,1.3384
10/11/2015,1.3384
09/11/2015,1.3384
06/11/2015,1.3384
05/11/2015,1.3384
04/11/2015,1.3384
03/11/2015,1.3384
02/11/2015,1.3384
30/10/2015,1.6033
29/10/2015,1.6033
28/10/2015,1.6033
27/10/2015,1.6033
26/10/2015,1.6033
23/10/2015,1.6033
22/10/2015,1.6033
21/10/2015,1.6033
20/10/2015,1.6033
19/10/2015,1.6033
16/10/2015,1.6033
15/10/2015,1.6033
14/10/2015,1.6033
13/10/2015,1.6033
12/10/2015,1.6033
09/10/2015,1.6033
08/10/2015,1.6033
07/10/2015,1.6033
06/10/2015,1.6033
05/10/2015,1.6033
02/10/2015,1.6033
01/10/2015,1.6033
30/09/2015,1.6033
29/09/2015,1.4606
28/09/2015,1.4606
25/09/2015,1.4606
24/09/2015,1.4606
23/09/2015,1.4606
22/09/2015,1.4606
21/09/2015,1.4606
18/09/2015,1.4606
17/09/2015,1.4606
16/09/2015,1.4606
15/09/2015,1.4606
14/09/2015,1.4606
11/09/2015,1.4606
10/09/2015,1.4606
09/09/2015,1.4606
08/09/2015,1.4606
07/09/2015,1.4606
04/09/2015,1.4606
03/09/2015,1.4606
02/09/2015,1.4606
01/09/2015,1.4606
31/08/2015,1.4606
28/08/2015,1.2664
27/08/2015,1.2664
26/08/2015,1.2664
25/08/2015,1.2664
24/08/2015,1.2664
21/08/2015,1.2664
20/08/2015,1.2664
19/08/2015,1.2664
18/08/2015,1.2664
17/08/2015,1.2664
14/08/2015,1.2664
13/08/2015,1.2664
12/08/2015,1.2664
11/08/2015,1.2664
10/08/2015,1.2664
07/08/2015,1.2664
06/08/2015,1.2664
05/08/2015,1.2664
04/08/2015,1.2664
03/08/2015,1.2664
31/07/2015,1.2664
30/07/2015,1.1286
29/07/2015,1.1286
28/07/2015,1.1286
27/07/2015,1.1286
24/07/2015,1.1286
23/07/2015,1.1286
22/07/2015,1.1286
21/07/2015,1.1286
20/07/2015,1.1286
17/07/2015,1.1286
16/07/2015,1.1286
15/07/2015,1.1286
14/07/2015,1.1286
13/07/2015,1.1286
10/07/2015,1.1286
09/07/2015,1.1286
08/07/2015,1.1286
07/07/2015,1.1286
06/07/2015,1.1286
03/07/2015,1.1286
02/07/2015,1.1286
01/07/2015,1.1286
30/06/2015,1.1286
29/06/2015,0.9076
26/06/2015,0.9076
25/06/2015,0.9076
24/06/2015,0.9076
23/06/2015,0.9076
22/06/2015,0.9076
19/06/2015,0.9076
18/06/2015,0.9076
17/06/2015,0.9076
16/06/2015,0.9076
15/06/2015,0.9076
12/06/2015,0.9076
11/06/2015,0.9076
10/06/2015,0.9076
09/06/2015,0.9076
08/06/2015,0.9076
05/06/2015,0.9076
04/06/2015,0.9076
03/06/2015,0.9076
02/06/2015,0.9076
01/06/2015,0.9076
29/05/2015,0.9151
28/05/2015,0.9151
27/05/2015,0.9151
26/05/2015,0.9151
25/05/2015,0.9151
22/05/2015,0.9151
21/05/2015,0.9151
20/05/2015,0.9151
19/05/2015,0.9151
18/05/2015,0.9151
15/05/2015,0.9151
14/05/2015,0.9151
13/05/2015,0.9151
12/05/2015,0.9151
11/05/2015,0.9151
08/05/2015,0.9151
07/05/2015,0.9151
06/05/2015,0.9151
05/05/2015,0.9151
04/05/2015,0.9151
01/05/2015,0.9151
30/04/2015,0.9151
29/04/2015,0.9166
28/04/2015,0.9166
27/04/2015,0.9166
24/04/2015,0.9166
23/04/2015,0.9166
22/04/2015,0.9166
21/04/2015,0.9166
20/04/2015,0.9166
17/04/2015,0.9166
16/04/2015,0.9166
15/04/2015,0.9166
14/04/2015,0.9166
13/04/2015,0.9166
10/04/2015,0.9166
09/04/2015,0.9166
08/04/2015,0.9166
07/04/2015,0.9166
06/04/2015,0.9166
03/04/2015,0.9166
02/04/2015,0.9166
01/04/2015,0.9166
31/03/2015,0.9166
30/03/2015,1.1445
27/03/2015,1.1445
26/03/2015,1.1445
25/03/2015,1.1445
24/03/2015,1.1445
23/03/2015,1.1445
20/03/2015,1.1445
19/03/2015,1.1445
18/03/2015,1.1445
17/03/2015,1.1445
16/03/2015,1.1445
13/03/2015,1.1445
12/03/2015,1.1445
11/03/2015,1.1445
10/03/2015,1.1445
09/03/2015,1.1445
06/03/2015,1.1445
05/03/2015,1.1445
04/03/2015,1.1445
03/03/2015,1.1445
02/03/2015,1.1445
27/02/2015,0.6085
26/02/2015,0.6085
25/02/2015,0.6085
24/02/2015,0.6085
23/02/2015,0.6085
20/02/2015,0.6085
19/02/2015,0.6085
18/02/2015,0.6085
17/02/2015,0.6085
16/02/2015,0.6085
13/02/2015,0.6085
12/02/2015,0.6085
11/02/2015,0.6085
10/02/2015,0.6085
09/02/2015,0.6085
