date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2018-10-04,2018-10-04,258493869744.0,3.6255,10.8515,0.031031,0.092153
2018-10-03,2018-10-03,259129984412.0,3.6345,10.8782,0.030955,0.091927
2018-10-02,2018-10-02,255718096646.0,3.5866,10.735,0.031368,0.093153
2018-10-01,2018-10-01,256007239677.0,3.5907,10.7471,0.031332,0.093048
2018-09-28,2018-09-28,253403136197.0,3.6327,11.2389,0.031474,0.088977
2018-09-27,2018-09-27,252425633743.0,3.6186,11.1955,0.031596,0.089321
2018-09-26,2018-09-26,251160630567.0,3.6005,11.1394,0.031755,0.089771
2018-09-25,2018-09-25,251793132155.0,3.6096,11.1675,0.031676,0.089546
2018-09-24,2018-09-24,252598134176.0,3.6211,11.2032,0.031575,0.08926
2018-09-21,2018-09-21,253345636053.0,3.6318,11.2363,0.031481,0.088997
2018-09-20,2018-09-20,251563131578.0,3.6063,11.1573,0.031704,0.089628
2018-09-19,2018-09-19,248745624504.0,3.5659,11.0323,0.032064,0.090643
2018-09-18,2018-09-18,250183128113.0,3.5865,11.0961,0.031879,0.090122
2018-09-17,2018-09-17,247308120895.0,3.5453,10.9686,0.03225,0.09117
2018-09-14,2018-09-14,247020620173.0,3.5412,10.9558,0.032288,0.091276
2018-09-13,2018-09-13,246388118585.0,3.5321,10.9278,0.03237,0.09151
2018-09-12,2018-09-12,243858112233.0,3.4958,10.8155,0.032706,0.09246
2018-09-11,2018-09-11,243283110790.0,3.4876,10.79,0.032784,0.092678
2018-09-10,2018-09-10,241845607181.0,3.467,10.7263,0.032978,0.093229
2018-09-07,2018-09-07,242650609202.0,3.4785,10.762,0.032869,0.09292
2018-09-06,2018-09-06,240235603139.0,3.4439,10.6549,0.033199,0.093854
2018-09-05,2018-09-05,240638104149.0,3.4497,10.6727,0.033144,0.093697
2018-09-04,2018-09-04,237878097220.0,3.4101,10.5503,0.033528,0.094784
2018-08-31,2018-08-31,238740599385.0,3.4225,10.5886,0.033407,0.094441
2018-08-30,2018-08-30,238625599097.0,3.4208,10.5835,0.033423,0.094487
2018-08-29,2018-08-29,238625599097.0,3.4208,10.5835,0.033423,0.094487
2018-08-28,2018-08-28,238625599097.0,3.4208,10.5835,0.033423,0.094487
2018-08-27,2018-08-27,239085600251.0,3.4274,10.6039,0.033359,0.094305
2018-08-24,2018-08-24,243800612089.0,3.495,10.813,0.032714,0.092481
2018-08-23,2018-08-23,242650609202.0,3.4785,10.762,0.032869,0.09292
2018-08-22,2018-08-22,241903107325.0,3.4678,10.7288,0.032971,0.093207
2018-08-21,2018-08-21,242420608624.0,3.4752,10.7518,0.0329,0.093008
2018-08-20,2018-08-20,243398111078.0,3.4892,10.7951,0.032768,0.092634
2018-08-17,2018-08-17,242018107614.0,3.4694,10.7339,0.032955,0.093162
2018-08-16,2018-08-16,238165597942.0,3.4142,10.5631,0.033488,0.094669
2018-08-15,2018-08-15,236670594188.0,3.3928,10.4968,0.033699,0.095267
2018-08-14,2018-08-14,234083087692.0,3.3557,10.382,0.034072,0.09632
2018-08-13,2018-08-13,234658089136.0,3.3639,10.4075,0.033989,0.096084
2018-08-10,2018-08-10,235348090868.0,3.3738,10.4381,0.033889,0.095803
2018-08-09,2018-08-09,235750591878.0,3.3796,10.456,0.033831,0.095639
2018-08-08,2018-08-08,238108097797.0,3.4134,10.5605,0.033496,0.094692
2018-08-07,2018-08-07,234830589569.0,3.3664,10.4152,0.033964,0.096014
2018-08-06,2018-08-06,235980592456.0,3.3829,10.4662,0.033798,0.095546
2018-08-03,2018-08-03,233105585238.0,3.3417,10.3387,0.034215,0.096724
2018-08-02,2018-08-02,227988072390.0,3.2683,10.1117,0.034983,0.098896
2018-08-01,2018-08-01,229598076432.0,3.2914,10.1831,0.034219,0.098202
