date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
03/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
04/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
05/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
08/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
09/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
10/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
11/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
12/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
15/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
16/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
17/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
18/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
19/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
22/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
23/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
24/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
